country	date	cluster
Denmark	3000	7
Denmark	4000	0
Denmark	2000	7
Estonia	6000	14
Estonia	5000	7
Kazakhstan	2000	13
Kazakhstan	3000	7
Romania	6000	3
Romania	5000	9
Romania	7000	9
Romania	9000	0
Romania	8000	14
Jordan	4000	15
Macedonia	7000	6
Jordan	8000	11
Jordan	9000	0
The Netherlands	3000	8
The Netherlands	4000	10
Austria	7000	8
Austria	6000	12
Poland	5000	15
Poland	4000	8
Poland	3000	4
Lithuania	6000	5
Lithuania	7000	14
Lithuania	4000	13
Lithuania	3000	2
Lithuania	8000	5
Lithuania	2000	4
Croatia	4000	4
Croatia	2000	9
Croatia	7000	3
Croatia	6000	8
Croatia	3000	3
Croatia	9000	14
Croatia	5000	12
Armenia	6000	1
Armenia	4000	9
Armenia	5000	9
Armenia	3000	4
Armenia	2000	0
Greece	7000	15
Greece	5000	9
Greece	6000	12
Greece	8000	12
Greece	3000	6
Sweden	4000	13
Sweden	3000	11
Sweden	7000	5
Sweden	1000	14
Portugal	4000	0
Italy	4000	8
Italy	5000	13
Italy	3000	11
France	4000	8
France	3000	3
France	6000	9
Israel	5000	15
Israel	8000	15
Iran	9000	13
Iran	2000	2
Iran	6000	1
Iran	5000	1
Iran	7000	1
Bulgaria	4000	8
Bulgaria	6000	3
Bulgaria	3000	2
Bulgaria	7000	8
Bulgaria	5000	8
Bulgaria	2000	15
Serbia	7000	9
Serbia	6000	12
Serbia	8000	14
Spain	4000	8
Spain	3000	4
Spain	7000	1
Spain	5000	9
Spain	6000	15
Spain	9000	11
Turkey	8000	9
Turkey	4000	15
Turkey	5000	15
Turkey	7000	13
Latvia	7000	5
Latvia	5000	5
Latvia	6000	5
Latvia	8000	5
Latvia	4000	0
Latvia	2000	10
Ukraine	8000	14
Ukraine	7000	14
Ukraine	4000	9
Ukraine	5000	0
Ukraine	6000	14
Czech Republic	4000	9
Czech Republic	6000	12
Czech Republic	5000	3
Czech Republic	3000	3
Russia	7000	4
Russia	2000	13
Russia	3000	1
Russia	4000	13
Russia	5000	13
Germany	9000	11
Germany	4000	9
Germany	7000	13
Germany	6000	12
Germany	3000	13
Germany	5000	4
Hungary	3000	4
Hungary	4000	1
Hungary	6000	12
Hungary	5000	3
Hungary	7000	9
Hungary	2000	8
United Kingdom	3000	9
United Kingdom	5000	8
United Kingdom	4000	9
United Kingdom	2000	10
